company_number,company_name,company_status,incorporation_date,company_type,registered_office_address,sic_codes,officers_count,recent_filings,last_filing_date,region,source,regulator_url,housing_units,official_website,phone_numbers,email_addresses,ceo_name,twitter_url,facebook_url,linkedin_url,instagram_url,youtube_url,twitter_followers,facebook_likes,linkedin_followers,social_media_activity_score,website_has_search,website_has_tenant_portal,website_has_online_services,website_responsive,arc_returns_found,latest_return_year,total_units,rental_income,operating_margin,governance_rating,viability_rating,annual_report_available,annual_report_url
SP1835RS,BLUE TRIANGLE (GLASGOW) HOUSING ASSOCIATION LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://bluetriangle.org.uk/wp-content/uploads/2023/12/Accounts_072_2023_REDACTED.pdf,0 0 842 0 0 ,_@o.nI,,,,https://uk.linkedin.com/in/richard-bradley-4433417a,,,,,,0,False,False,False,False,False,,,,,,,False,
10981633,WHEATLEY GROUP LTD,active,2017-09-26,,"Holly Cottage The Street, Holbrook, Ipswich, IP9 2PZ",70100,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
SP2508RS,SANCTUARY SCOTLAND HOUSING ASSOCIATION LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://scotland.sanctuary.co.uk/,"0808 168 3471


, 0808 168 3476


, 0808 168 3477


","pr@sanctuary-housing.co.uk, myresearch@voluntas.co.uk",,,,https://uk.linkedin.com/in/john-campbell-113ba717b,,,,,,0,False,False,False,True,False,,,,,,,False,
SC278428,PLACES FOR PEOPLE SCOTLAND LIMITED,active,2005-01-14,,"1 Hay Avenue, Edinburgh, EH16 4RW","41100, 68100, 68201, 68320",0,0,,Scotland,Known Scottish Housing Association,,,https://www.placesforpeople.co.uk/media/vubjh5o2/fully-signed-fy24-castlerock-edinvar-updated-accounts.pdf,"05 18 18 529 24 24 630 28 28 487 38 38 458 39 39 637 47 47 266 62 62 422 69 69 658 75 75 676 87 87 532 90 90 562 94 94 472 100 100 495 258 258 493 349 349 245 367 367 245 374 374 536 381 381 537 396 396 355 400 400 398 410 410 346 437 437 536 448 448 473 894 894 311 895 895 311, 06 1198 1000, 0 20 556 21 21 556 22 22 556 23 23 556 24 24 556 25 25 556 26 26 556 36 36 722 38 38 722 39 39 722 40 40 666 41 41 610 42 42 777 43 43 722 44 44 277 46 46 722 47 47 610 48 48 833 49 49 722 50 50 777 51 51 666 53 53 722 54 54 666 55 55 610 56 56 722 57 57 666 60 60 666 68 68 556 69 69 610 70 70 556 71 71 610 72 72 556 73 73 333 74 74 610 75 75 610 76 76 277 78 78 556 79 79 277 80 80 889 81 81 610 82 82 610 83 83 610 85 85 389 86 86 556 87 87 333 88 88 610 89 89 556 92 92 556",,,,,https://uk.linkedin.com/in/stephen-oswald-he-him-8337ab21,,,,,,0,False,False,False,False,False,,,,,,,False,
SP002335,CAIRN HOUSING ASSOCIATION LTD,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://www.cairnha.com/,"0800 990 3405
, 0800 990 3405 
, 0









",enquiries@cairnha.com,,https://twitter.com/cairnha,https://www.facebook.com/cairnha,https://www.linkedin.com/company/cairn-housing-association?trk=biz-companies-cym,,,,,,0,True,False,False,True,False,,,,,,,False,
SP2476RS,FIFE HOUSING ASSOCIATION LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://fifehg.org.uk/who-we-are/,"08000 274 007, 01383 606162","usinfo@fifehg.org.ukVisit, 007info@fifehg.org.ukHomeWho, info@fifehg.org",,https://twitter.com/fifehg,,https://www.linkedin.com/company/fife-housing-association/,,,,,,0,True,True,False,True,False,,,,,,,False,
SP1778RS,TRUST HOUSING ASSOCIATION LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://www.trustha.org.uk/media/a1goasul/annual-procurement-report-2023-2024.pdf,"0 268 268 252, 07 507 507 507 507 507 507 507 507 507, 0 0 0 0 0 682 0 303 303 0 0 250 306 252 386 507 507 507 507 507 507 507 507 507 507 268 268 0 0 498 0 894 579 544 533 615 488 459 631 623 252 319 520 420 855 646 662 517 673 543 459 487 642 567 890 0 0 468 0 0 0 0 0 0 479 525 423 525 498 305 471 525 230 239 455 230 799 525 527 525 525 349 391 335 525 452 715 433 453 0 0 460 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 507",,,,https://www.facebook.com/jobsinglasgow.co.uk/,https://www.linkedin.com/pub/dir/Mandy/Meldrum,,,,,,0,False,False,False,False,False,,,,,,,False,
SC188968,WEST LOTHIAN HOUSING PARTNERSHIP LIMITED,dissolved,1998-09-02,,"Wheatley House, 25 Cochrane Street, Glasgow, G1 1HL",68201,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
SP2489RS,CLYDE VALLEY HOUSING ASSOCIATION LTD.,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://www.housingregulator.gov.scot/landlord-performance/landlords/clyde-valley-housing-association-ltd/,"018-19
                    



                       , 025
                    





, 019
                    



                       ",cvha@cvha.org.uk,SHR Board,https://twitter.com/SHR_news,,https://uk.linkedin.com/company/clyde-valley-group,,,,,,0,False,False,False,True,False,,,,,,,False,
SP1823RS,DUNEDIN CANMORE HOUSING LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
RS008793,LINK HOUSING ASSOCIATION LIMITED,,,,,,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
SC348646,RIVERSIDE (SCOTLAND) LTD,dissolved,2008-09-16,,"15a Rosyth Road, Glasgow, G5 0YD",7487,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
SP1776RS,ALBYN HOUSING SOCIETY LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://www.albynhousing.org.uk/,"01463 220719 , 0300 323 0990 
, 025                








",office@albynhousing.org.uk,,https://twitter.com/albynhousing,https://www.facebook.com/albynhousing,https://uk.linkedin.com/in/helen-boath-202ab97,,,,,,0,False,False,False,True,False,,,,,,,False,
SP1728RS,BLACKWOOD HOMES AND CARE,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://www.blackwoodgroup.org.uk/,0131 317 7227 ,,,https://twitter.com/anglianbp/,http://www.facebook.com/BlackwoodScotland,https://www.linkedin.com/company/1692461,https://www.instagram.com/p/C6_YM7PqcUp/,https://www.youtube.com/watch?v=891pGWJZ7KI,,,,0,True,True,False,True,False,,,,,,,False,
SP1692RS,BIELD HOUSING & CARE,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://www.housingregulator.gov.scot/landlord-performance/landlords/bield-housing-care/,"018-19
                    



                       , 025
                    





, 019
                    



                       ",info@bield.co.uk,SHR Board,https://twitter.com/SHR_news,https://www.facebook.com/TISScotland/posts/-tis-national-excellence-awards-2024-housing-organisation-of-the-year-sponsored-/915131787307733/,https://uk.linkedin.com/company/bield-housing-&-care,https://www.instagram.com/lewisandhickey/,,,,,0,False,False,False,True,False,,,,,,,False,
SP1983RS,HANOVER (SCOTLAND) HOUSING ASSOCIATION LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://www.hanover.scot/wp-content/uploads/2024/09/Financial-Statements-2023-24-SIGNED_Redacted2.pdf,0 0 596 0 0 ,p@5.gr,,,,https://uk.linkedin.com/in/margaret-fielding-38825963,,,,,,0,False,False,False,False,False,,,,,,,False,
15115172,JOBS UK ORKNEY ISLANDS LTD,active,2023-09-05,,"270 Slade Road, Birmingham, B23 7LX","32401, 64110, 64191, 78200",0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
15115219,JOBS UK SHETLAND ISLANDS LTD,active,2023-09-05,,"270 Slade Road, Birmingham, B23 7LX","30300, 30400, 32500, 78109",0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
CS000216,ADVOCACY WESTERN ISLES,,,,,,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
OE024755,WASHINGTON INTERNATIONAL STUDIES COUNCIL INC,registered,2023-02-08,,"Suite 25 927 S. Walter Reed Drive, Arlington, 22204",,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
RS002661,ARGYLL COMMUNITY HOUSING ASSOCIATION LIMITED,,,,,,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
SC185652,AYRSHIRE HOUSING,active,1998-05-05,,"119 Main Street, Ayr, KA8 8BX",68201,0,0,,Scotland,Known Scottish Housing Association,,,https://www.ayrshirehousing.org.uk/,"027906
					, 01292 880120
 01292 880121
 ",,,https://twitter.com/AyrshireHousing,https://facebook.com/ayrshirehousing/,https://www.linkedin.com/posts/ayrshiregroup_ayrshire-housing-makinganimpact-activity-7274645801321046019-biRZ,,,,,,0,True,True,False,True,False,,,,,,,False,
SP2482RS,BERWICKSHIRE HOUSING ASSOCIATION LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://www.berwickshirehousing.org.uk/resource/bha-statutory-audited-accounts-2023-24-redacted/,"042342








 


, 0800 652 8104



, 025-2028)


",info@berwickshirehousing.org.uk,,,,https://www.linkedin.com/company/berwickshire-housing-association-limited,,,,,,0,False,False,False,False,False,,,,,,,False,
SP2573RS,SCOTTISH BORDERS HOUSING ASSOCIATION LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
SP1767RS,CASTLE ROCK EDINVAR HOUSING ASSOCIATION LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
SP002191,CLYDEBANK HOUSING ASSOCIATION LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://clydebank-ha.org.uk/uploads/2024-02-02-10-15-48-hmpol04RentPolicy20242025-29831.pdf,"0										, 0240201132828",Joe@clydebank-ha.org.uk,,,,https://uk.linkedin.com/in/gemma-connell-3b496b152,,,,,,0,False,False,False,False,False,,,,,,,False,
SC347297,CREATE (CUMNOCK & DOON VALLEY AREA),dissolved,2008-08-19,,"15 Glenweir Avenue, Cumnock, KA18 1HT",82990,0,0,,Scotland,Known Scottish Housing Association,,,,,,,,,,,,,,,0,False,False,False,False,False,,,,,,,False,
SP02266R,EAST LOTHIAN HOUSING ASSOCIATION,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://www.housingregulator.gov.scot/landlord-performance/landlords/east-lothian-housing-association-ltd/,"018-19
                    



                       , 025
                    





, 019
                    



                       ",enquiries@elha.com,SHR Board,https://twitter.com/SHR_news,https://www.facebook.com/eastlothianhousingassociation/?locale=en_GB,https://uk.linkedin.com/company/east-lothian-housing-association,,,,,,0,False,False,False,True,False,,,,,,,False,
SP1757RS,EILDON HOUSING ASSOCIATION LIMITED,active,,,,,0,0,,Scotland,Known Scottish Housing Association,,,https://eildon.org.uk/tenant-handbook/files/basic-html/page25.html,"03000200217





, 03000 200 217






, 03000 200 217 (",,,,,https://uk.linkedin.com/in/julia-kelly-932b8829,,,,,,0,False,False,False,False,False,,,,,,,False,
